Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
23/12/2013,"BALLAGHMORE LOWER, BORRIS-IN-OSSORY, CO LAOIS",,Laois,"€123,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/05/2016,"71 PIGEON HOUSE ROAD, RINGSEND, DUBLIN 4",Dublin 4,Dublin,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/05/2017,"30 WALLED GARDENS GOLF LODGE, CASTLEMARTYR RESORT, CASTLEMARTYR",,Cork,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/02/2014,"36 Dun Eoin, Carrigaline",,Cork,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/03/2014,"SELDOMERE, LANMORE, LISCARNEY",,Mayo,"€195,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/12/2018,"LITTLE ASH, GLENVILLE ROAD, CLONARD",,Wexford,"€252,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/09/2020,"12 UPPER CLEVEDON, KILMONEY, CORK",,Cork,"€265,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/06/2019,"69 ALDERBROOK, FRANKFIELD, DOUGLAS",,Cork,"€299,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/12/2020,"Apt. 4 Beech Hall, Clay Farm, Leopardstown",Dublin 18,Dublin,"€356,828.00",No,Yes,New Dwelling house /Apartment,
23/07/2018,"2 ROCKENHAM, FERRYBANK, WATERFORD",,Waterford,"€96,500.00",No,No,Second-Hand Dwelling house /Apartment,
12/09/2014,"243 PHIBSBORO ROAD, PHIBSBORO, DUBLIN 7",,Dublin,"€232,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/03/2015,"39 ABBEYVILLE, CLARE RD, ENNIS",,Clare,"€152,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/10/2012,"55 MOnksfield Walk, Clondalkin, Dublin 22",,Dublin,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/12/2020,"APT 6 EGLINGTON COURT, EGLINGTON ROAD, DONNYBROOK",,Dublin,"€340,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/08/2013,"22 Orwell Park, Rathgar",Dublin 6,Dublin,"€1,750,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/05/2021,"BIRD HILL, 127 NORTH CIRCULAR RD, DUBLIN 7",Dublin 7,Dublin,"€780,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/03/2018,"APT 20, DAKOTA COURT, ROYAL CANAL BANK DUBLIN 7",Dublin 7,Dublin,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/07/2016,"55 GLASSLYNN, BANDON, CORK",,Cork,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/11/2021,"4 CHURCH ST, ST MARY'S, LIMERICK",,Limerick,"€175,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/06/2011,"118 TORCAILL, PORTMARNOCK",,Dublin,"€350,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/05/2019,"6 RIVER LANE, ROCHFORD MANOR, TRIM",,Meath,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/10/2015,"23 EAST AVE, PARKGATE, FRANKFIELD",,Cork,"€365,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/09/2016,"4B GRIFFITH LAWNS, GRIFFITH AVE, DUBLIN 9",Dublin 9,Dublin,"€237,500.00",No,No,Second-Hand Dwelling house /Apartment,
17/08/2012,"6 Ringfort view, Darcystown, Balrothery",,Dublin,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/03/2019,"27 THE MOORINGS, FITZWILLIAM QUAY, DUBLIN",Dublin 4,Dublin,"€412,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/08/2020,"7 ARDMORE PARK, BALLYBEG, WATERFORD",,Waterford,"€72,930.00",Yes,No,Second-Hand Dwelling house /Apartment,
10/11/2017,"45 FITZWILLIAM QUAY, RINGSEND, DUBLIN 4",Dublin 4,Dublin,"€405,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/11/2014,"5 DE SELBY DR, BLESSINGTON RD, TALLAGHT DUBLIN 24",Dublin 24,Dublin,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/01/2015,"31 South Central, Rockbrook, Sandyford",Dublin 18,Dublin,"€252,313.00",No,No,Second-Hand Dwelling house /Apartment,
10/09/2014,"UNIT 30, GLEN AOIBHINN, COURTOWN",,Wexford,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/04/2018,"9 CORN MILL, DISTILLERY RD, DUBLIN",Dublin 3,Dublin,"€445,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/02/2020,"CANNONSTOWN, TERMONFECKIN, DROGHEDA",,Louth,"€408,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/06/2011,"Baile An tSagairt, Spiddal, Co. Galway",,Galway,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/11/2020,"10 ORMAND DR, SWORDS MANOR, SWORDS DUBLIN",,Dublin,"€375,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/02/2018,"15 MERRION VILLAGE, MERRION RD, DUBLIN 4",Dublin 4,Dublin,"€550,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"41  Droimneach, Bweeng, Mallow",,Cork,"€210,572.69",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
20/12/2017,"10 COIS NA HABHAINN, FERBANE, OFFALY",,Offaly,"€73,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/11/2016,"17 THE FAIRWAYS, TUBBERCURRY, SLIGO",,Sligo,"€32,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/12/2014,"1A JOHNS LANE, KILLALOE, CLARE",,Clare,"€30,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/11/2017,"28 BALLYBRIT HEIGHTS, BALLYBRIT, GALWAY",,Galway,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/11/2021,"13 THE CUTLERS, 34 34 PARLIAMENT ST, DUBLIN 2",Dublin 2,Dublin,"€335,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/10/2014,"81 COIS GHRUDA, CASTLETROY, LIMERICK",,Limerick,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,
